distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_spent,cost
21.1,4.8,43,21.5,7,E10,0,0,0,14.5,1.0128,1.8432959999999998
22.7,4.7,55,21.5,6,E10,0,0,0,15.5,1.0669,1.941758
44.4,4.8,38,21.5,8,E10,0,0,0,13.5,2.1311999999999998,3.8787839999999996
35.8,4.4,51,21.5,6,E10,0,0,0,15.5,1.5752000000000002,2.8668640000000005
11.8,4.9,44,21.5,0,E10,0,0,0,21.5,0.5782,1.052324
26.2,4.9,42,21.5,6,E10,0,0,0,15.5,1.2838,2.336516
40.6,4.4,44,21.0,3,E10,0,0,0,18.0,1.7864000000000002,3.2512480000000004
12.4,5.3,38,21.0,-5,E10,0,0,0,26.0,0.6572,1.196104
14.1,5.3,47,21.0,-3,E10,0,0,0,24.0,0.7472999999999999,1.3600859999999997
58.7,4.8,75,21.0,0,E10,0,0,0,21.0,2.8176,5.128032
16.2,5.2,29,21.0,0,E10,0,0,0,21.0,0.8423999999999999,1.5331679999999999
12.3,4.9,50,22.5,0,E10,0,0,0,22.5,0.6027000000000001,1.0969140000000002
12.3,7.1,52,22.5,0,E10,1,1,0,22.5,0.8733,1.589406
12.4,5.2,51,22.5,1,E10,0,0,0,21.5,0.6448,1.1735360000000001
31.8,4.7,59,22.5,3,E10,0,0,0,19.5,1.4946000000000002,2.7201720000000003
12.3,5.1,55,22.5,8,E10,0,0,0,14.5,0.6273,1.141686
51.6,5.0,73,22.5,12,E10,0,0,0,10.5,2.58,4.695600000000001
38.6,4.6,44,22.5,10,E10,0,0,0,12.5,1.7756,3.231592
12.3,4.8,41,22.5,7,E10,0,0,0,15.5,0.5904,1.0745280000000001
81.2,4.4,69,22.0,13,E10,0,0,0,9.0,3.5728000000000004,6.502496000000001
130.3,4.6,85,22.0,12,E10,0,0,0,10.0,5.9938,10.908716
67.2,4.3,67,22.0,18,E10,0,0,0,4.0,2.8895999999999997,5.259072
19.0,4.5,29,22.5,10,E10,0,0,0,12.5,0.855,1.5561
12.4,4.8,38,22.5,1,E10,0,0,0,21.5,0.5952,1.083264
25.2,5.0,55,22.5,9,E10,0,0,0,13.5,1.26,2.2932
14.3,4.8,36,22.5,10,E10,0,0,0,12.5,0.6864,1.2492480000000001
11.8,4.6,40,22.5,2,E10,0,0,0,20.5,0.5428000000000001,0.9878960000000001
16.9,4.5,48,22.5,9,E10,0,0,1,13.5,0.7605,1.38411
12.4,4.6,55,22.5,11,E10,0,0,1,11.5,0.5704,1.0381280000000002
17.4,4.4,36,22.5,12,E10,0,0,1,10.5,0.7656000000000001,1.3933920000000002
9.2,5.7,33,22.5,8,E10,0,1,0,14.5,0.5244,0.954408
12.3,5.8,54,22.5,10,E10,0,1,0,12.5,0.7134,1.298388
13.0,5.9,32,22.5,10,E10,0,0,0,12.5,0.767,1.3959400000000002
11.8,6.1,16,22.5,6,E10,0,1,0,16.5,0.7198,1.310036
13.0,5.7,37,22.5,11,E10,0,1,0,11.5,0.7410000000000001,1.3486200000000002
